"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2695","SEC14L2",-1.83922439966179,13.7393284616044,-11.2593601159143,7.35611790126766e-13,2.31276346815855e-11,18.9484084700744
"232","ACO1",1.40710526024893,16.6996459783763,11.1922708208219,8.61371103857573e-13,2.67251718802126e-11,18.76992643669
"747","HNRNPH2",-0.864753422598301,15.8917647665403,-11.1734485033047,9.00459418898529e-13,2.75751079189965e-11,18.7351495001292
"970","AHSA1",2.33834360052292,14.0153422827291,11.1238209157919,1.01245337409002e-12,3.06072443090292e-11,18.6414543481157
"439","RAB7A",0.665084028482893,18.3513867023467,11.0802014505304,1.12262244572823e-12,3.35081484433818e-11,18.5277191257283
"2872","NAA10",2.59241455436233,13.7754688358297,11.0429452211488,1.22639678155292e-12,3.5701772974096e-11,18.4952155410971
"502","SEC61A1",2.01048755940884,17.8619636894765,11.0682301149793,1.15495057385342e-12,3.40421681643294e-11,18.4665180201773
"2107","LNPK",-2.10338618265036,12.3334128167362,-11.0187254410567,1.29907267965786e-12,3.73562607150396e-11,18.3868687432508
"1270","TOMM40",2.64733984808053,14.7356849310164,10.9779594024939,1.43149457397559e-12,4.06682434389693e-11,18.2460959216643
"536","XPO1",1.68040261825483,15.7800208611194,10.8928265247386,1.75437009483753e-12,4.92476748050821e-11,18.055211710282
"314","PPP1R12A",-1.45832556391242,16.4983241687098,-10.8444215533913,1.97025962993289e-12,5.46573200868441e-11,17.9233489033183
"707","PSMA7",1.3789154725556,17.081749772173,10.832031128224,2.02976606896069e-12,5.56533533791781e-11,17.8918009140165
"281","AP2A2",1.5722103711262,16.4721323273621,10.8118959769964,2.13041391380434e-12,5.73356868538758e-11,17.8537559503124
"767","EIF4H",-1.10416308603587,17.4366434602587,-10.809703252194,2.14167819405091e-12,5.73356868538758e-11,17.8396197299421
"469","ALDH9A1",1.13969602525363,17.5202530620207,10.8053792895821,2.16406960559582e-12,5.73356868538758e-11,17.8262901135859
"1288","DDRGK1",-4.10642210695044,14.1438054775195,-10.774867997738,2.32902538377795e-12,6.02144741758986e-11,17.8238584835125
"567","PRKAR2A",-0.920957405021428,16.5558629156099,-10.7958730196881,2.21414246018302e-12,5.80105324567951e-11,17.77884177886
"2213","SLC1A5",-2.29974983951719,15.6515395408444,-10.7712650479447,2.34933487030647e-12,6.02144741758986e-11,17.7309259191363
"58","HYOU1",-0.877208669073647,19.1682670420097,-10.7507551216736,2.46844544179367e-12,6.25870360403169e-11,17.699865304011
"664","SDF4",-2.44834834882585,16.4922178176852,-10.7338051125685,2.57153085566063e-12,6.45071250813593e-11,17.6531637811736
"546","YWHAH",-1.19179410482063,17.7037783640577,-10.6970597071623,2.81038482160161e-12,6.97567095719641e-11,17.5510110191696
"1396","TBCE",-2.10876467071196,15.3880253955993,-10.683823708084,2.90187637421818e-12,7.12773384417341e-11,17.5198179545394
"255","ACTBL2",-3.52192142206275,17.9594651734453,-10.6736541435543,2.97423548505105e-12,7.23015182860864e-11,17.501923845066
"374","NUCB1",-1.12157579416406,17.6843739886864,-10.5367222371304,4.14919689571987e-12,9.93872650430756e-11,17.1723015860743
"1114","TSN",-1.9376962320367,15.620718145729,-10.5344028725718,4.17274776898409e-12,9.93872650430756e-11,17.1640228074089
"495","SF3B1",2.04749919710152,15.9501691457952,10.513665189498,4.38948497385551e-12,1.03504055683513e-10,17.1166335759424
"1561","GBP2",-1.60420475843728,14.515553736372,-10.5028332941774,4.50723204124439e-12,1.05228249042122e-10,17.0965518132506
"2513","SPATS2L",-2.12694112448896,14.8096253827254,-10.4286736470194,5.40499829901755e-12,1.24950843030229e-10,16.8827149014746
"985","MEST",1.96475297120632,14.1034407569516,10.3838944330695,6.03362176148888e-12,1.35907350168744e-10,16.8221006235035
"1425","COX4I1",1.92275053280181,15.2713417597433,10.3865364842297,5.99453773587356e-12,1.35907350168744e-10,16.7770690481427
"337","APMAP",-0.855316126440359,17.8976312985996,-10.3826679197808,6.05185401514765e-12,1.35907350168744e-10,16.7710472447327
"248","EIF3A",0.616604815792662,18.0675298018346,10.3255513128569,6.96632229704134e-12,1.54967811098335e-10,16.6440758401181
"1235","ALDH4A1",1.08107220028356,17.9312613214233,10.2820522999341,7.7565951159507e-12,1.67798635627631e-10,16.5091969047928
"1236","PRRC1",1.08107220028356,17.9312613214233,10.2820522999341,7.7565951159507e-12,1.67798635627631e-10,16.5091969047928
"1237","GIPC1",1.08107220028356,17.9312613214233,10.2820522999341,7.7565951159507e-12,1.67798635627631e-10,16.5091969047928
"1656","PIN1",1.8475566309329,15.4368310591967,10.2643191640655,8.10450706985007e-12,1.73731160642786e-10,16.5062837770179
"383","PPIA",-0.631188993733083,21.0128540378073,-10.165430225534,1.03589419788627e-11,2.18747889418874e-10,16.2366164643477
"333","LTA4H",0.947101665432909,17.2474170387923,10.1642248028174,1.03900609053918e-11,2.18747889418874e-10,16.2304346779405
"705","ARL6IP5",-1.05259061160833,18.0982604913385,-10.1594547686337,1.05141421894302e-11,2.19401303386518e-10,16.1998291887507
"976","H2AC6",0.810775776840729,19.1220674466825,10.1416072731197,1.09919808782994e-11,2.27360446587982e-10,16.171297347278
"959","SDCBP",1.56291178682394,17.466038390744,10.1350277488401,1.11736815067591e-11,2.29109052112504e-10,16.1414168114942
"1663","RPL24",1.43511169462005,14.4985087627917,10.1072061287566,1.19765515684386e-11,2.4299265661012e-10,16.0868311046896
"868","H2AC20",3.16887195314353,17.0722230482604,10.1011186910284,1.2159937862593e-11,2.4299265661012e-10,16.0565039959947
"869","H2AC18",3.16887195314353,17.0722230482604,10.1011186910284,1.2159937862593e-11,2.4299265661012e-10,16.0565039959947
"527","RTCB",-1.06458189260218,17.8350642149503,-10.0954451502698,1.23334363063714e-11,2.44388595045578e-10,16.043684174675
"498","SQOR",2.67211125833121,15.9611420414909,10.0589750166608,1.35107086176761e-11,2.65485424337335e-10,15.9859778368623
"1629","ETHE1",1.23328719198237,14.5677532063603,10.0523160758955,1.37377494147357e-11,2.67715810908651e-10,15.9759523253762
"604","CKB",-2.183738744124,16.8133355102587,-9.94399129295332,1.80303806268772e-11,3.45655589578671e-10,15.6736136370988
"898","RPL10",-1.7891335136703,16.4929280674811,-9.94848856440147,1.78274398235593e-11,3.44566418884859e-10,15.6701324350506
"2250","RFTN1",-2.08363916467744,12.958023851266,-9.92082339097214,1.91138277507546e-11,3.63471014808704e-10,15.6367738076796
"629","RPS14",-0.866068037618134,17.7817248267567,-9.87573173161816,2.14170538525897e-11,3.9589999679689e-10,15.5462711106227
"440","PSMC5",-0.77520332496385,17.3009372698998,-9.89336129981928,2.04845886205979e-11,3.86421279738959e-10,15.5323542896171
"423","COPE",-1.06230517233812,17.5564915025528,-9.88643504018454,2.08458897112023e-11,3.90115936023929e-10,15.5277613452523
"607","RPS2",0.631616875030328,18.6288888869807,9.87399883872654,2.15110179493048e-11,3.9589999679689e-10,15.4975570194135
"1797","TBL2",-2.20185249180059,14.6077276093659,-9.87129171730319,2.16586512242573e-11,3.9589999679689e-10,15.4971786699961
"802","TGFB1I1",-2.13501561339666,16.1026882236746,-9.8633150666603,2.20996998679461e-11,4.00854556066284e-10,15.4482376553054
"111","XRCC5",-0.767533162342436,18.2628295049784,-9.81489061584414,2.49812098873803e-11,4.49661777972845e-10,15.3572546410665
"353","CALM2",-1.15606780114054,20.0041283591859,-9.75795889005968,2.8864375273487e-11,5.07926842499123e-10,15.1751030600579
"354","CALM1",-1.15606780114054,20.0041283591859,-9.75795889005968,2.8864375273487e-11,5.07926842499123e-10,15.1751030600579
"355","CALM3",-1.15606780114054,20.0041283591859,-9.75795889005968,2.8864375273487e-11,5.07926842499123e-10,15.1751030600579
"1234","CSRP1",1.09803688011862,17.9404697332025,9.73649997096447,3.0483265700511e-11,5.32441040902259e-10,15.1167575464446
"23","ACTG1",-1.01724283115154,19.9142955897991,-9.71701504850909,3.20334290203567e-11,5.55403129632361e-10,15.0844812298765
"1071","RECQL",-1.27210620186419,15.3840568136472,-9.7012940966504,3.33426249322553e-11,5.69723982538101e-10,15.0596128865446
